2013.10.27 11:27:59.530 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:810
2013.10.27 11:27:59.539 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:839
2013.10.27 11:27:59.550 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:51|average velocity:797
2013.10.27 11:27:59.553 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:797
2013.10.27 11:27:59.554 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:798
2013.10.27 11:27:59.565 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:97|average velocity:781
2013.10.27 11:27:59.567 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:242|average velocity:776
2013.10.27 11:27:59.571 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:194|average velocity:768
2013.10.27 11:27:59.584 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:768
2013.10.27 11:27:59.584 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:771
2013.10.27 11:27:59.586 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:121|average velocity:886
2013.10.27 11:27:59.605 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:40|average velocity:898
2013.10.27 11:27:59.606 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:899
2013.10.27 11:27:59.609 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:899
2013.10.27 11:27:59.609 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:901
2013.10.27 11:27:59.618 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:138|average velocity:937
2013.10.27 11:27:59.620 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:242|average velocity:931
2013.10.27 11:27:59.621 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:981
2013.10.27 11:27:59.635 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:64|average velocity:950
2013.10.27 11:27:59.636 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:954
2013.10.27 11:27:59.677 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:23|average velocity:883
2013.10.27 11:27:59.678 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:885
2013.10.27 11:27:59.717 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:25|average velocity:835
2013.10.27 11:27:59.717 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:835
2013.10.27 11:27:59.718 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:841
2013.10.27 11:27:59.760 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:25|average velocity:793
2013.10.27 11:27:59.777 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:46|average velocity:788
2013.10.27 11:27:59.780 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:788
2013.10.27 11:27:59.781 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:485|average velocity:790
2013.10.27 11:27:59.783 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:485|average velocity:789
2013.10.27 11:27:59.783 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:789
2013.10.27 11:27:59.854 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:13|average velocity:709
2013.10.27 11:27:59.855 INFO  jpcap.media.StatisticsKeeper 43 run - velocity:970|average velocity:709
